id,price,nb_bedrooms,indoor_surface,zip_code,subtype,currency,building_state,year_of_construction,energy_certificate,outdoor_terrace_exists,energy,kitchen_type,land_surface,outdoor_surface,country,province,city,parking,url,type
20820018,299000.0,2,97.0,8450,apartment,eur,GOOD,1985.0,D,True,electric,installed,,,Belgique,Flandre Occidentale,Bredene,False,https://www.immoweb.be/fr/annonce/appartement/a-vendre/bredene/8450/20820018,apartment
20820012,250000.0,0,34.0,8670,flat_studio,eur,AS_NEW,1979.0,D,False,electric,,,,Belgique,Flandre Occidentale,Oostduinkerke,False,https://www.immoweb.be/fr/annonce/studio/a-vendre/oostduinkerke/8670/20820012,apartment
20819999,2650000.0,5,438.0,8300,villa,eur,AS_NEW,2017.0,A+,False,gas,,880.0,,Belgique,Flandre Occidentale,Knokke,True,https://www.immoweb.be/fr/annonce/villa/a-vendre/knokke/8300/20819999,house
20820045,748000.0,4,205.0,9080,house,eur,AS_NEW,2001.0,A,True,,,678.0,,Belgique,Flandre Orientale,Lochristi,True,https://www.immoweb.be/fr/annonce/maison/a-vendre/lochristi/9080/20820045,house
20820000,215000.0,2,90.0,1070,apartment,eur,,1993.0,,True,gas,installed,,,Belgique,Bruxelles,Anderlecht,True,https://www.immoweb.be/fr/annonce/appartement/a-vendre/anderlecht/1070/20820000,apartment
20189108,235000.0,2,204.0,3300,house,eur,AS_NEW,1850.0,B,False,gas,,90.0,,Belgique,Brabant Flamand,Tienen,False,https://www.immoweb.be/fr/annonce/maison/a-vendre/tienen/3300/20189108,house
20820006,595000.0,1,88.0,9000,apartment,eur,GOOD,1899.0,B,True,gas,installed,,,Belgique,Flandre Orientale,Gent,False,https://www.immoweb.be/fr/annonce/appartement/a-vendre/gent/9000/20820006,apartment
20820004,309000.0,4,175.0,9420,house,eur,TO_BE_DONE_UP,,D,True,fueloil,installed,387.0,60.0,Belgique,Flandre Orientale,Erondegem,True,https://www.immoweb.be/fr/annonce/maison/a-vendre/erondegem/9420/20820004,house
20819996,695000.0,7,397.0,9032,house,eur,TO_RENOVATE,1940.0,F,False,,,1088.0,,Belgique,Flandre Orientale,Wondelgem,True,https://www.immoweb.be/fr/annonce/maison/a-vendre/wondelgem/9032/20819996,house
20820036,49000.0,1,30.0,4000,flat_studio,eur,GOOD,,D,True,gas,semi_equipped,,,Belgique,Liège,Liège,False,https://www.immoweb.be/fr/annonce/studio/a-vendre/liege/4000/20820036,apartment
20819987,286500.0,2,98.0,8600,apartment,eur,AS_NEW,2023.0,A,True,gas,hyper_equipped,,,Belgique,Flandre Occidentale,Diksmuide,True,https://www.immoweb.be/fr/annonce/appartement/a-vendre/diksmuide/8600/20819987,apartment
20820026,1780000.0,1,,8000,apartment_block,eur,AS_NEW,1976.0,C,True,electric,,736.0,,Belgique,Flandre Occidentale,Brugge,False,https://www.immoweb.be/fr/annonce/immeuble-a-appartements/a-vendre/brugge/8000/20820026,house
20820014,645000.0,2,158.0,9000,apartment,eur,GOOD,,C,False,gas,,,,Belgique,Flandre Orientale,Gent,True,https://www.immoweb.be/fr/annonce/appartement/a-vendre/gent/9000/20820014,apartment
20816886,235000.0,3,120.0,6720,house,eur,TO_RENOVATE,1950.0,F,True,fueloil,semi_equipped,170.0,1.0,Belgique,Luxembourg,HABAY-LA-NEUVE,False,https://www.immoweb.be/fr/annonce/maison/a-vendre/habay-la-neuve/6720/20816886,house
20820097,155000.0,1,620.0,8480,house,eur,,1930.0,F,False,gas,,0.0,1.0,Belgique,Flandre Occidentale,Ichtegem,False,https://www.immoweb.be/fr/annonce/maison/a-vendre/ichtegem/8480/20820097,house
20820019,483245.0,3,,8370,house,eur,,2025.0,,False,,,400.0,,Belgique,Flandre Occidentale,Blankenberge,True,https://www.immoweb.be/fr/annonce/maison/a-vendre/blankenberge/8370/20820019,house
20820010,415900.0,4,175.0,8760,house,eur,GOOD,,A,True,,,463.0,,Belgique,Flandre Occidentale,Meulebeke,True,https://www.immoweb.be/fr/annonce/maison/a-vendre/meulebeke/8760/20820010,house
20820008,699000.0,5,,8600,apartment_block,eur,GOOD,,B,False,gas,semi_equipped,110.0,,Belgique,Flandre Occidentale,DIKSMUIDE,False,https://www.immoweb.be/fr/annonce/immeuble-a-appartements/a-vendre/diksmuide/8600/20820008,house
20820041,195000.0,2,107.0,8790,apartment,eur,TO_BE_DONE_UP,1989.0,B,True,,,,,Belgique,Flandre Occidentale,Waregem,True,https://www.immoweb.be/fr/annonce/appartement/a-vendre/waregem/8790/20820041,apartment
20820031,825000.0,5,453.0,1457,villa,eur,GOOD,,,True,fueloil,installed,4653.0,,Belgique,Brabant Wallon,Walhain,True,https://www.immoweb.be/fr/annonce/villa/a-vendre/walhain/1457/20820031,house
20820013,325000.0,4,239.0,8560,house,eur,GOOD,,E,True,gas,,656.0,,Belgique,Flandre Occidentale,Wevelgem,True,https://www.immoweb.be/fr/annonce/maison/a-vendre/wevelgem/8560/20820013,house
20817254,750000.0,3,187.0,1040,apartment,eur,GOOD,1990.0,C,True,gas,hyper_equipped,,,Belgique,Bruxelles,Bruxelles,True,https://www.immoweb.be/fr/annonce/appartement/a-vendre/bruxelles/1040/20817254,apartment
20820015,499000.0,7,,1081,apartment_block,eur,,1918.0,G,False,,installed,170.0,,Belgique,Bruxelles,Koekelberg,False,https://www.immoweb.be/fr/annonce/immeuble-a-appartements/a-vendre/koekelberg/1081/20820015,house
